Molecule ChEMBL ID,Smiles,Standard Value,IC50(nM),¦¤G, predict affinity(kcal/mol),difference,annotation
CHEMBL177456,O=C(O)c1ccc2c(c1)nc(-c1ccc(C(=O)O)o1)n2C1CCCCC1,IC50 > 30000,3.00E+04,-8.4,6.85E+02,-2.93E+04,
CHEMBL178045,O=C(O)c1ccc2c(c1)nc(-c1ccc(CO)o1)n2C1CCCCC1,IC50 > 30000,3.00E+04,-8.3,8.12E+02,-2.92E+04,
CHEMBL355577,O=C(O)c1ccc2c(c1)nc(-c1ccc(-c3ccc(Cl)cc3)o1)n2C1CCCCC1,IC50 > 30000,3.00E+04,-8.1,1.14E+03,-2.89E+04,
CHEMBL177851,Cc1[nH]cnc1-c1nc2cc(C(=O)O)ccc2n1C1CCCCC1,IC50 > 30000,3.00E+04,-7.8,1.89E+03,-2.81E+04,
CHEMBL181908,O=[N+]([O-])c1ccc(-c2nc3ncnc(O)c3nc2-c2ccccc2)cc1,IC50 = 30000,3.00E+04,-7.8,1.89E+03,-2.81E+04,
CHEMBL380801,O=C(O)C(=O)/C=C(\O)c1cccc(Cc2cc(Br)cc(Br)c2)c1,IC50 = 32000,3.20E+04,-7.3,4.40E+03,-2.76E+04,
CHEMBL193480,CC(C)c1ccccc1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,IC50 = 28000,2.80E+04,-8.4,6.85E+02,-2.73E+04,
CHEMBL174838,O=C(O)c1ccc2c(c1)nc(-c1cccnc1)n2C1CCCCC1,IC50 = 28000,2.80E+04,-8.1,1.14E+03,-2.69E+04,
CHEMBL2236441,Cc1ccccc1-c1nc(SCc2cccc([N+](=O)[O-])c2)[nH]c(=O)c1C#N,IC50 = 37000,3.70E+04,-6.8,1.02E+04,-2.68E+04,
CHEMBL2236456,N#Cc1c(-c2ccc(Br)cc2)nc(SCCC(=O)Oc2ccccc2)[nH]c1=O,IC50 = 30199.52,3.02E+04,-7.4,3.71E+03,-2.65E+04,
CHEMBL199200,O=C(O)C(=O)/C=C(\O)c1cccn1Cc1cccc(F)c1,IC50 = 30000,3.00E+04,-7.4,3.71E+03,-2.63E+04,
CHEMBL2236456,N#Cc1c(-c2ccc(Br)cc2)nc(SCCC(=O)Oc2ccccc2)[nH]c1=O,IC50 = 30000,3.00E+04,-7.4,3.71E+03,-2.63E+04,
CHEMBL180546,Fc1ccc(CCNc2ncnc3nc(-c4ccc(F)cc4)c(-c4ccc(F)cc4)nc23)cc1,IC50 = 26000,2.60E+04,-8.4,6.85E+02,-2.53E+04,
CHEMBL202133,O=S(=O)(NN1C(=S)SC(Cc2ccc(Cl)c(Cl)c2)C1O)c1ccccc1,IC50 = 27000,2.70E+04,-7.7,2.24E+03,-2.48E+04,
CHEMBL205353,CCCC1(CC(=O)O)CCCc2c1[nH]c1c(F)c(F)ccc21,IC50 > 33000,3.30E+04,-6.9,8.64E+03,-2.44E+04,
CHEMBL440562,O=C(O)c1nc(-c2ccccc2)nc(O)c1O,IC50 = 30000,3.00E+04,-7.1,6.16E+03,-2.38E+04,
CHEMBL2236449,COc1cc(CSc2nc(-c3ccc(C(C)C)cc3)c(C#N)c(=O)[nH]2)cc(OC)c1,IC50 = 25118.86,2.51E+04,-7.8,1.89E+03,-2.32E+04,
CHEMBL73237,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,IC50 = 47000,4.70E+04,-6.3,2.38E+04,-2.32E+04,
CHEMBL197721,O=C(O)C(=O)/C=C(\O)c1cccc(-c2ccccc2)c1,IC50 = 28000,2.80E+04,-7.2,5.21E+03,-2.28E+04,
CHEMBL188448,O=C(O)c1nc(-c2ccc(Cl)cc2)nc(O)c1O,IC50 = 29000,2.90E+04,-7.1,6.16E+03,-2.28E+04,
