NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
60,3,-7.9,1.235,1.793,1.193952048
60,4,-7.7,3.946,6.124,1.296237939
60,5,-7.7,4.084,7.046,0.826524799
60,6,-7.6,3.934,6.986,1.013860438
60,7,-7.5,4.058,6.525,0.795008372
60,8,-7.1,3.17,4.386,1.245795107
60,9,-7,4.088,6.773,1.178260061
61,1,-7.8,0,0,1.639669513
61,2,-7.7,3.848,6.874,1.208893356
61,3,-7.7,3.979,6.948,1.290325281
61,4,-7.5,1.601,2.181,1.373778021
61,5,-7.4,4.11,6.668,1.463056733
61,6,-7.3,1.234,1.994,1.335295616
61,7,-7.2,3.971,7.064,1.638966176
61,8,-7.1,3.643,4.867,1.310143388
61,9,-7.1,1.95,2.716,1.499464377
62,1,-7.9,0,0,1.61649471
62,2,-7.5,4.061,6.906,0.781177383
62,3,-7.4,2.507,5.454,1.298081953
62,4,-7,1.767,2.132,1.363238211
62,5,-7,2.63,3.271,1.259876488
62,6,-6.9,2.914,4.172,1.525292462
62,7,-6.9,4.304,6.771,0.95087061
62,8,-6.9,2.885,4.877,1.524164568
62,9,-6.9,4.692,7.292,1.274711981
63,1,-7.8,0,0,1.268973654
63,2,-7.7,4.331,7.267,1.560244269
63,3,-7.7,1.35,1.567,1.355561635
63,4,-7.4,1.765,2.799,1.079961485
63,5,-7.3,3.108,5.32,1.12374391
63,6,-7.2,4.069,6.726,1.281513298
63,7,-7.1,4.114,6.844,1.367685038
63,8,-6.9,1.789,2.972,1.352927244
63,9,-6.7,3.743,5.971,1.335007946
64,1,-9.3,0,0,1.167301206
64,2,-9.2,2.225,5.169,1.21367551
64,3,-8.8,2.564,5.032,0.935291004
64,4,-8.7,1.693,5.34,1.213291828
64,5,-8.6,4.334,7.023,1.219305328
64,6,-8.3,2.332,5.313,0.953898077
64,7,-8,3.48,6.417,1.425971694
64,8,-8,1.536,2.267,1.293682658
64,9,-8,3.82,6.889,1.280500535
