NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
51,3,-7.7,3.956,5.917,0.820697317
51,4,-7.5,4.08,5.971,0.79953427
51,5,-7.4,2.075,4.879,1.379292742
51,6,-7.2,3.585,5.819,1.280239857
51,7,-7,2.785,3.801,1.076418436
51,8,-7,3.239,5.481,1.234211742
51,9,-6.8,3.82,6.382,1.40347974
52,1,-7.7,0,0,1.466711225
52,2,-7.5,1.123,1.689,1.220803002
52,3,-7.3,4.009,7.172,1.339086827
52,4,-7.2,4.306,6.732,1.240516707
52,5,-7.2,3.038,5.712,1.340619819
52,6,-7.2,3.989,6.957,1.068851271
52,7,-7,4.25,6.868,1.179326741
52,8,-6.9,2.405,5.008,1.565399228
52,9,-6.8,4.031,6.392,0.922644884
53,1,-8.8,0,0,1.185699441
53,2,-8.7,1.279,1.966,1.072816834
53,3,-8.6,3.872,6.351,1.163089388
53,4,-8.2,2.71,3.965,1.263526527
53,5,-8.2,3.001,5.625,1.581266863
53,6,-8,3.893,7.442,1.533884202
53,7,-7.9,3.06,5.602,1.323259757
53,8,-7.7,1.844,2.298,1.530966709
53,9,-7.7,2.418,5.819,1.870087109
54,1,-7.8,0,0,1.558788454
54,2,-7.7,2.208,2.769,1.356234522
54,3,-7.7,2.925,5.718,1.057505187
54,4,-7.5,3.291,4.602,1.024342519
54,5,-7.5,3.354,4.47,1.046952878
54,6,-7.5,4.535,6.323,1.017662607
54,7,-7.5,4.472,6.586,1.272376628
54,8,-7.3,4.535,6.602,1.032843011
54,9,-7.2,2.183,4.751,0.711505393
55,1,-7.4,0,0,1.260931311
55,2,-7.4,3.89,7.062,1.429405608
55,3,-7.3,3.509,6.47,1.193046097
55,4,-7.2,2.654,5.827,1.337760874
55,5,-7.2,3.877,6.15,1.389311377
55,6,-7.1,2.733,5.839,1.308142811
55,7,-7,3.862,6.44,1.381376306
55,8,-7,3.705,6.686,1.189543542
55,9,-6.9,3.961,6.337,1.090595888
56,1,-7.8,0,0,1.154797592
56,2,-7.4,4.352,6.986,1.341128487
56,3,-7.4,4.257,6.324,1.502920715
56,4,-7.3,4.268,5.711,1.559871183
56,5,-7.3,3.617,6.165,1.585261204
56,6,-7,2.18,3.288,1.465002388
56,7,-6.9,2.906,4.742,1.603659111
56,8,-6.8,3.227,5.447,1.487444154
56,9,-6.8,2.082,4.768,1.829634953
57,1,-7.7,0,0,1.395574583
57,2,-7.7,4.357,7.199,1.271064745
57,3,-7.5,3.507,6.693,1.243294179
57,4,-7.5,3.234,5.764,1.567406143
57,5,-7.4,3.351,5.889,1.355965394
57,6,-7.3,3.485,5.753,1.168723066
57,7,-7.3,4.417,7.3,0.942902049
57,8,-7.2,4.357,7.518,1.104735831
57,9,-7.1,4.351,7.475,1.313117237
58,1,-8.9,0,0,1.185343136
58,2,-8.5,3.701,6.329,1.450292535
58,3,-8.3,2.027,2.444,1.604016859
58,4,-8.3,2.789,4.106,1.113457374
58,5,-8.1,4.637,8.263,1.45110132
58,6,-8.1,2.558,6.161,1.955776398
58,7,-8.1,3.393,6.084,1.385061213
58,8,-7.8,2.001,5.165,1.38773424
58,9,-7.7,4.028,6.274,1.186251808
59,1,-8,0,0,0.834341263
59,2,-7.8,3.609,6.16,1.265459382
59,3,-7.6,2.758,5.23,1.10542145
59,4,-7.3,4.52,6.891,1.647875852
59,5,-7.3,3.696,5.751,1.123500544
59,6,-6.9,4.166,6.58,1.165706385
59,7,-6.9,4.175,6.309,0.836446363
59,8,-6.8,4.177,6.593,1.322131129
59,9,-6.8,3.826,5.26,1.187129597
60,1,-8,0,0,1.44651439
60,2,-7.6,1.26,1.803,0.871126455
60,3,-7.6,3.528,4.986,1.292169568
60,4,-7.4,4.087,7.218,1.178661926
60,5,-7.4,3.996,7.017,0.837907634
60,6,-7.3,4.221,6.664,1.188215996
60,7,-7,4.367,7.05,1.253346808
60,8,-7,4.421,7.025,0.900403704
60,9,-7,2.496,5.681,1.232098088
61,1,-7.3,0,0,1.33466907
61,2,-7.3,3.872,6.201,1.581862737
61,3,-7.2,3.454,6.353,1.176368495
61,4,-7.2,2.605,5.772,1.468111167
61,5,-7.1,2.793,5.68,1.489794701
61,6,-6.9,3.625,5.748,1.487285572
61,7,-6.6,3.224,5.297,1.602789264
61,8,-6.5,1.891,5.134,1.214236909
61,9,-6.4,2.013,4.926,1.524343019
62,1,-7.6,0,0,1.480040155
62,2,-7,4.269,7.286,1.031974677
62,3,-7,3.258,6.033,1.358269263
62,4,-6.9,4.393,6.824,1.097203708
62,5,-6.9,4.101,7.015,0.696278822
62,6,-6.6,3.406,5.536,1.524861134
62,7,-6.5,4.445,7.294,1.240168827
62,8,-6.4,4.036,6.822,1.422023494
62,9,-6.4,1.212,1.818,1.67818142
63,1,-7.6,0,0,1.269837502
63,2,-7.6,4.366,7.211,1.365388861
63,3,-7.6,3.408,5.77,1.099361719
63,4,-7.5,0.831,1.3,1.147861368
63,5,-7.3,1.649,2.234,1.223905116
63,6,-7.1,4.008,6.653,1.294738089
63,7,-6.9,3.33,5.873,1.22239895
63,8,-6.8,2.1,3.185,1.063784165
63,9,-6.8,4.179,6.592,1.379710726
64,1,-8.9,0,0,1.079507644
64,2,-8.7,1.322,1.943,1.083265319
64,3,-8.6,3.897,6.386,1.204523202
64,4,-8.3,3.856,7.391,1.381107708
64,5,-8.3,2.722,3.939,1.216217611
64,6,-8.2,1.674,2.151,1.647961311
64,7,-8.1,2.016,4.693,1.57098395
64,8,-8,1.628,2.126,1.075036344
64,9,-7.9,4.428,6.579,1.693783663
65,1,-7.9,0,0,1.47401215
65,2,-7.8,1.249,1.737,1.196458214
65,3,-7.8,2.721,3.59,1.594964481
65,4,-7.7,2.241,2.873,1.56072764
65,5,-7.7,2.916,5.709,0.840106196
65,6,-7.6,1.353,1.669,0.981352707
65,7,-7.6,3.259,4.543,0.641234198
65,8,-7.5,3.569,4.691,1.182004882
65,9,-7.5,4.61,6.342,1.080298155
66,1,-7.3,0,0,1.293084113
66,2,-7.3,3.544,6.484,1.158754078
66,3,-7.1,3.472,5.564,1.346842957
66,4,-7.1,2.56,5.606,1.183676553
66,5,-7,3.978,6.364,1.430465489
66,6,-7,3.799,6.77,1.056338047
66,7,-6.6,3.924,6.702,0.987710619
66,8,-6.6,3.557,6.408,1.326164585
66,9,-6.6,3.585,5.695,1.047987512
67,1,-7.9,0,0,1.313020165
67,2,-7.9,3.826,5.147,1.177763075
67,3,-7.7,2.136,3.48,1.423282045
67,4,-7.7,3.358,5.919,1.029139002
