NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
43,8,-6.8,3.859,6.356,1.154025351
43,9,-6.8,2.939,3.931,1.469540556
44,1,-8,0,0,1.116885957
44,2,-7.6,3.946,6.989,1.07161375
44,3,-7.4,4.232,6.786,1.642273106
44,4,-7.4,1.37,2.012,1.546815915
44,5,-7.3,4.048,6.801,1.742259304
44,6,-7.1,3.867,5.912,1.548347979
44,7,-7.1,1.44,2.095,1.406448837
44,8,-7,4.527,7.321,1.569472
44,9,-6.8,3.198,5.388,1.176230096
45,1,-7.7,0,0,1.169390567
45,2,-7.2,4.341,6.753,1.621841773
45,3,-7.2,4.098,6.96,0.813672653
45,4,-7.2,4.227,7.339,1.670665803
45,5,-7,3.839,5.937,1.125332327
45,6,-6.7,3.841,5.889,1.435699862
45,7,-6.6,3.956,5.541,1.376386564
45,8,-6.5,4.204,6.662,1.232764738
45,9,-6.5,3.65,4.69,1.709251937
46,1,-8.7,0,0,1.432045174
46,2,-8.6,0.165,1.191,1.243691987
46,3,-7.8,5.046,7.126,1.149245854
46,4,-7.8,3.077,5.711,1.139409967
46,5,-7.7,4.429,7.423,1.567031305
46,6,-7.5,4.582,6.841,1.333130301
46,7,-7.4,4.184,7.081,1.071530839
46,8,-7.3,2.346,5.151,1.131692273
46,9,-6.9,3.67,5.987,1.172952109
47,1,-8.5,0,0,1.198623007
47,2,-8.2,3.383,6.021,0.893441017
47,3,-7.9,2.682,5.316,1.253694331
47,4,-7.5,4.359,6.668,1.508887273
47,5,-7.2,3.601,5.649,0.876331281
47,6,-7,4.269,6.849,1.016405415
47,7,-7,1.616,2.068,1.271255738
47,8,-6.9,4.073,5.602,1.108759961
47,9,-6.7,3.249,6.052,1.046476233
48,1,-8.7,0,0,1.35087974
48,2,-8.6,4.655,7.062,1.224266423
48,3,-7.8,3.075,5.76,1.147574531
48,4,-7.8,4.888,6.829,1.406012903
48,5,-7.5,4.217,7.311,1.242991288
48,6,-7.2,2.125,5.374,1.004800148
48,7,-7.1,2.272,5.029,1.030782651
48,8,-7,1.976,4.871,1.172737453
48,9,-6.8,4.974,8.006,1.260773593
49,1,-8.1,0,0,0.960744239
49,2,-7.9,3.752,5.782,1.46676651
49,3,-7.4,1.88,4.911,0.891240206
49,4,-7.1,3.299,6.015,0.963051104
49,5,-6.9,3.556,5.544,0.790219941
49,6,-6.8,4.953,7.467,1.377307495
49,7,-6.7,4.408,7.101,1.134042762
49,8,-6.4,4.082,6.781,1.090700831
49,9,-6.3,3.311,5.867,0.851855256
50,1,-8,0,0,1.110174732
50,2,-7.7,3.812,5.813,1.402979205
50,3,-7.5,1.956,4.825,0.84903436
50,4,-7.4,1.502,1.85,1.375568776
50,5,-7.3,3.217,5.879,0.926459372
50,6,-6.9,1.585,2.108,1.303981665
50,7,-6.9,2.047,4.951,1.180451987
50,8,-6.5,3.453,5.553,0.931624307
50,9,-6.5,3.586,4.744,1.526703598
